"","BGN_DATE","STATE","EVTYPE","END_DATE","FATALITIES","INJURIES"
"1","4/18/1950 0:00:00","AL","TORNADO","",0,15
"3","2/20/1951 0:00:00","AL","TORNADO","",0,2
"4","6/8/1951 0:00:00","AL","TORNADO","",0,2
"5","11/15/1951 0:00:00","AL","TORNADO","",0,2
"6","11/15/1951 0:00:00","AL","TORNADO","",0,6
"7","11/16/1951 0:00:00","AL","TORNADO","",0,1
"9","2/13/1952 0:00:00","AL","TORNADO","",1,14
"11","2/13/1952 0:00:00","AL","TORNADO","",0,3
"12","2/13/1952 0:00:00","AL","TORNADO","",0,3
"13","2/13/1952 0:00:00","AL","TORNADO","",1,26
"14","2/29/1952 0:00:00","AL","TORNADO","",0,12
"15","3/3/1952 0:00:00","AL","TORNADO","",0,6
"16","3/22/1952 0:00:00","AL","TORNADO","",4,50
"17","4/4/1952 0:00:00","AL","TORNADO","",0,2
"24","1/20/1953 0:00:00","AL","TORNADO","",0,1
"25","1/23/1953 0:00:00","AL","TORNADO","",0,1
"26","2/20/1953 0:00:00","AL","TORNADO","",1,8
"27","2/20/1953 0:00:00","AL","TORNADO","",0,2
"28","2/20/1953 0:00:00","AL","TORNADO","",0,1
"29","2/20/1953 0:00:00","AL","TORNADO","",0,6
"30","3/18/1953 0:00:00","AL","TORNADO","",0,2
"32","4/6/1953 0:00:00","AL","TORNADO","",0,12
"34","4/18/1953 0:00:00","AL","TORNADO","",6,195
"35","5/1/1953 0:00:00","AL","TORNADO","",0,2
"36","5/1/1953 0:00:00","AL","TORNADO","",7,12
"38","5/1/1953 0:00:00","AL","TORNADO","",2,3
"39","5/4/1953 0:00:00","AL","TORNADO","",0,2
"42","12/6/1953 0:00:00","AL","TORNADO","",0,1
"47","4/16/1954 0:00:00","AL","TORNADO","",0,1
"48","12/5/1954 0:00:00","AL","TORNADO","",0,4
"49","12/5/1954 0:00:00","AL","TORNADO","",0,26
"50","12/5/1954 0:00:00","AL","TORNADO","",0,3
"51","12/5/1954 0:00:00","AL","TORNADO","",0,2
"53","3/21/1955 0:00:00","AL","TORNADO","",0,1
"68","4/21/1955 0:00:00","AL","TORNADO","",0,1
"70","4/24/1955 0:00:00","AL","TORNADO","",5,20
"80","10/16/1955 0:00:00","AL","TORNADO","",0,5
"94","4/15/1956 0:00:00","AL","TORNADO","",25,200
"99","5/3/1956 0:00:00","AL","TORNADO","",0,2
"106","12/23/1956 0:00:00","AL","TORNADO","",0,1
"113","3/31/1957 0:00:00","AL","TORNADO","",0,4
"122","4/8/1957 0:00:00","AL","TORNADO","",2,90
"135","6/28/1957 0:00:00","AL","TORNADO","",0,4
"136","6/28/1957 0:00:00","AL","TORNADO","",0,8
"144","6/28/1957 0:00:00","AL","TORNADO","",0,2
"147","6/28/1957 0:00:00","AL","TORNADO","",0,1
"152","11/8/1957 0:00:00","AL","TORNADO","",0,5
"157","11/17/1957 0:00:00","AL","TORNADO","",4,15
"158","11/17/1957 0:00:00","AL","TORNADO","",0,3
"161","11/18/1957 0:00:00","AL","TORNADO","",0,5
"162","11/18/1957 0:00:00","AL","TORNADO","",0,1
"165","11/18/1957 0:00:00","AL","TORNADO","",1,35
"172","11/18/1957 0:00:00","AL","TORNADO","",3,6
"173","11/18/1957 0:00:00","AL","TORNADO","",0,6
"176","12/19/1957 0:00:00","AL","TORNADO","",0,7
"190","4/5/1958 0:00:00","AL","TORNADO","",1,1
"197","4/6/1958 0:00:00","AL","TORNADO","",0,1
"211","5/25/1958 0:00:00","AL","TORNADO","",0,1
"228","5/12/1959 0:00:00","AL","TORNADO","",0,5
"233","7/1/1959 0:00:00","AL","TORNADO","",0,3
"265","9/16/1960 0:00:00","AL","TORNADO","",0,2
"270","2/20/1961 0:00:00","AL","TORNADO","",0,2
"272","2/24/1961 0:00:00","AL","TORNADO","",0,4
"275","3/7/1961 0:00:00","AL","TORNADO","",0,1
"277","3/7/1961 0:00:00","AL","TORNADO","",0,8
"291","3/31/1961 0:00:00","AL","TORNADO","",0,7
"297","4/27/1961 0:00:00","AL","TORNADO","",0,2
"311","12/10/1961 0:00:00","AL","TORNADO","",0,1
"314","12/11/1961 0:00:00","AL","TORNADO","",0,2
"321","12/17/1961 0:00:00","AL","TORNADO","",0,1
"331","3/21/1962 0:00:00","AL","TORNADO","",0,10
"375","3/5/1963 0:00:00","AL","TORNADO","",0,35
"377","3/5/1963 0:00:00","AL","TORNADO","",0,3
"380","3/11/1963 0:00:00","AL","TORNADO","",2,6
"384","3/11/1963 0:00:00","AL","TORNADO","",1,3
"387","3/11/1963 0:00:00","AL","TORNADO","",0,4
"392","3/17/1963 0:00:00","AL","TORNADO","",0,4
"400","4/29/1963 0:00:00","AL","TORNADO","",0,4
"404","4/29/1963 0:00:00","AL","TORNADO","",0,17
"427","1/24/1964 0:00:00","AL","TORNADO","",10,6
"430","3/9/1964 0:00:00","AL","TORNADO","",0,1
"431","3/9/1964 0:00:00","AL","TORNADO","",2,2
"435","3/25/1964 0:00:00","AL","TORNADO","",0,7
"438","4/7/1964 0:00:00","AL","TORNADO","",0,1
"454","4/28/1964 0:00:00","AL","TORNADO","",0,1
"457","4/28/1964 0:00:00","AL","TORNADO","",0,8
"474","10/4/1964 0:00:00","AL","TORNADO","",0,2
"481","12/24/1964 0:00:00","AL","TORNADO","",0,3
"487","2/11/1965 0:00:00","AL","TORNADO","",0,18
"489","3/17/1965 0:00:00","AL","TORNADO","",0,22
"500","4/15/1965 0:00:00","AL","TORNADO","",0,2
"523","9/29/1965 0:00:00","AL","TORNADO","",0,2
"531","3/3/1966 0:00:00","AL","TORNADO","",0,11
"532","3/3/1966 0:00:00","AL","TORNADO","",0,2
"533","3/3/1966 0:00:00","AL","TORNADO","",1,3
"546","11/10/1966 0:00:00","AL","TORNADO","",0,1
"554","3/6/1967 0:00:00","AL","TORNADO","",0,1
"555","3/6/1967 0:00:00","AL","TORNADO","",2,25
"560","3/6/1967 0:00:00","AL","TORNADO","",0,4
"582","5/6/1967 0:00:00","AL","TORNADO","",1,25
"624","10/24/1967 0:00:00","AL","TORNADO","",0,1
"626","10/24/1967 0:00:00","AL","TORNADO","",0,3
"628","10/30/1967 0:00:00","AL","TORNADO","",0,1
"633","11/22/1967 0:00:00","AL","TORNADO","",0,2
"634","11/24/1967 0:00:00","AL","TORNADO","",0,7
"643","12/18/1967 0:00:00","AL","TORNADO","",2,0
"644","12/18/1967 0:00:00","AL","TORNADO","",0,27
"649","12/21/1967 0:00:00","AL","TORNADO","",0,1
"724","11/3/1968 0:00:00","AL","TORNADO","",0,14
"725","11/3/1968 0:00:00","AL","TORNADO","",0,4
"728","11/17/1968 0:00:00","AL","TORNADO","",0,2
"729","11/17/1968 0:00:00","AL","TORNADO","",1,24
"736","12/27/1968 0:00:00","AL","TORNADO","",0,2
"745","4/18/1969 0:00:00","AL","TORNADO","",2,11
"747","4/18/1969 0:00:00","AL","TORNADO","",0,3
"797","12/30/1969 0:00:00","AL","TORNADO","",0,2
"808","3/19/1970 0:00:00","AL","TORNADO","",2,14
"828","4/26/1970 0:00:00","AL","TORNADO","",0,2
"868","2/4/1971 0:00:00","AL","TORNADO","",0,12
"869","2/4/1971 0:00:00","AL","TORNADO","",1,1
"885","2/26/1971 0:00:00","AL","TORNADO","",3,0
"900","3/6/1971 0:00:00","AL","TORNADO","",0,2
"995","12/20/1971 0:00:00","AL","TORNADO","",0,1
"999","1/13/1972 0:00:00","AL","TORNADO","",4,88
"1000","1/13/1972 0:00:00","AL","TORNADO","",0,2
"1039","6/27/1972 0:00:00","AL","TORNADO","",0,2
"1056","12/15/1972 0:00:00","AL","TORNADO","",0,3
"1068","3/16/1973 0:00:00","AL","TORNADO","",0,5
"1084","4/18/1973 0:00:00","AL","TORNADO","",0,14
"1102","5/8/1973 0:00:00","AL","TORNADO","",2,12
"1104","5/8/1973 0:00:00","AL","TORNADO","",0,2
